osm_id,osm_type,capa,nombre,lat,lon,amenity,healthcare,shop,brand,direccion,barrio
1112478718,node,droguerias,Drogas La Rebaja,4.1534664,-73.6360689,pharmacy,,,,,
1543121078,node,droguerias,Sin nombre,4.1260872,-73.6172473,pharmacy,,,,,
1560679910,node,droguerias,Sin nombre,4.1270295,-73.6163974,pharmacy,,,,,
4294514311,node,droguerias,Sin nombre,4.1082334,-73.6531284,pharmacy,,,,,
4333102809,node,droguerias,Droguería Supereconómica del Llano,4.1059612,-73.6482236,pharmacy,,,,,
4333120490,node,droguerias,Sin nombre,4.1078351,-73.6524109,pharmacy,,,,,
5785116854,node,droguerias,Evedisa,4.1393343,-73.6383387,pharmacy,,,,Calle 26B,
9136383641,node,droguerias,Cruz Verde Libertadores,4.1516752,-73.6373355,pharmacy,,,,,
9136390498,node,droguerias,Cruz Verde Villavicencio,4.1453036,-73.6387362,pharmacy,,,,,
10990273397,node,droguerias,La Rebaja,4.1313637,-73.6295933,pharmacy,,,,,
11414732295,node,droguerias,Tienda De Químicos San Isidro,4.1498681,-73.6321287,,,chemist,,,
11910722853,node,droguerias,Sin nombre,4.1393033,-73.6349814,pharmacy,pharmacy,,,,
598989464,way,droguerias,la rebaja,4.1523048,-73.6358311,,,chemist,,,
1087094053,way,droguerias,Drogueria Santa Maria,4.1449191,-73.6430179,pharmacy,pharmacy,,,Calle 35,
1486766338,way,droguerias,Farmatodo,4.1376508,-73.6468153,pharmacy,pharmacy,,Farmatodo,,
