osm_id,osm_type,capa,nombre,lat,lon,amenity,healthcare,shop,brand,direccion,barrio
2495673652,node,salud,Clinica Servimedicos,4.1422713,-73.6404274,hospital,,,,,
2495673653,node,salud,Centro de Especialistas,4.1420867,-73.6409424,hospital,,,,,
2495685993,node,salud,Cruz Roja Colombiana,4.1536461,-73.6362807,hospital,,,,,
4333102810,node,salud,Cafesalud Atención Usuario,4.1402238,-73.6379321,clinic,,,,,
4575798596,node,salud,CliniSanitas,4.1442717,-73.6384793,clinic,,,,,
4866093021,node,salud,Masajista,4.1009651,-73.6249227,doctors,,,,,
8304897703,node,salud,Terapias Integrales IPS,4.136234,-73.6349215,clinic,,,,,
9021809975,node,salud,Sala de Masajes en Villavicencio,4.1069001,-73.6526131,hospital,hospital,,,Calle 20 Sur,
9960553880,node,salud,Compensar sede administrativa,4.1426749,-73.6411773,,doctor,,,,
11926862176,node,salud,Centro de Salud El Popular,4.1400901,-73.6146619,clinic,clinic,,,Calle 25 # 13 - 53,
11926894140,node,salud,Centro de Salud Barzal,4.1467398,-73.6386427,clinic,clinic,,,Carrera 36 # 34a - 15,
11926921970,node,salud,Centro de Salud Porvenir,4.1478627,-73.6299464,clinic,clinic,,,"Cl 32 #25-09, El Porvenir, Villavicencio, Meta",
11927279261,node,salud,CENTRO DE SALUD 12 DE OCTUBRE,4.1595216,-73.6515375,clinic,clinic,,,Cl. 47 #45-87,
11927282571,node,salud,Puesto de Salud Kirpas,4.1193828,-73.5857131,clinic,clinic,,,"Cl 14 Sur #19-22, Villavicencio, Meta",
11927313366,node,salud,Famedic Atencion Medica,4.1457467,-73.6390423,clinic,clinic,,,Cra. 38 #34-14,
11927317685,node,salud,Nueva Clinica El Barzal,4.1464812,-73.6393678,clinic,clinic,,,Cra 37 # 35-17,
11927393684,node,salud,Clinica Materno Infantil San Rafael,4.1451493,-73.6353165,clinic,clinic,,,"Centro Empresarial Torre 33, Cl. 33 #33-34, Torre A, Consultorio 603, Villavicencio, Meta",
11927466674,node,salud,Centro Médico Sanitas - MultiSalud,4.1404492,-73.6393362,clinic,clinic,,,Cra. 40 #33B,
11927467292,node,salud,IPS Multisalud Barzal,4.1443088,-73.6358723,clinic,clinic,,,Cl. 33 #34-45,
107138814,way,salud,Clínica Meta,4.1444206,-73.6371031,hospital,,,,,
183027845,way,salud,Clínica Marta,4.1469768,-73.6391145,hospital,,,,,
183027850,way,salud,Hospital Regional,4.1438459,-73.6449621,hospital,,,,,
547188531,way,salud,Centro de Salud Comuneros,4.1239647,-73.6268226,clinic,clinic,,,Cra. 29a #6-1,
611746952,way,salud,Clínica Somos,4.1382383,-73.6386107,hospital,hospital,,,Carrera 40,
868602426,way,salud,IPS Sanitas Centro Médico,4.1438023,-73.6429677,clinic,clinic,,,,
1285742031,way,salud,CENTRO DE SALUD LA ESPERANZA,4.130819,-73.6374774,clinic,clinic,,,Cl. 12 #47b 03,
1285752506,way,salud,Centro De Salud El Recreo,4.143286,-73.6110372,clinic,clinic,,,Carrera 11 Calle 31a - 3,
1285757072,way,salud,CENTRO DE SALUD PORFIA,4.0819447,-73.6706464,clinic,clinic,,,Calle 55 con carrera 44,
1285758465,way,salud,CENTRO DE SALUD MORICHAL,4.1374052,-73.5847766,clinic,clinic,,,Carrera 20 Este,
1285830475,way,salud,Torre de Especilistas Clinica Meta,4.1440756,-73.6373526,clinic,clinic,,,Calle 33 # 36-114,
